description,storypoint,split_mark
as a developer want able compile rent a car demo different scenarios without change config files today basic rent a car demo compiled box compile compley samples as locator sample user first change spring configurations rent a car projects recompile worse compiled another scenario first remove specific configuration scenario therefore enable build provide a way via maven profiles compile different scenarios without change source code configuration without specifying a profile basic demo built specifying a profile locator build locator enabled demo build system must prepared include profiles additional scenarios jars created different profiles must get scenario specific names eg crmserviceservicelocaor40jar h4 acceptance criteria must possible first compile basic rent a car demo one maven command without changing anything compile a second maven command rent a car locator enabled sample,2,train
as an administrator want run zookeeper server and proxy service colocated one container provide a karaf feature install zookeeper server and proxy service one container test document runtime configuration guide install configure and run zookeeper server and proxy service one container,5,train
as a data service developer would like add sl custom properties tesbprovider and sam custom properties tesbconsumer tesbresponse and tesbfault components might need use advanced tab property values dynamic job api remain unchanged,8,train
as a developer id like fix offset management kafka _source_ module efficiently perform fetch operation given offsets,8,train
as a chef wish update menu dishes are seasonal,2,train
as an mdm system user able add edit delete roles user groups,3,train
as a developer id like benchmark rabbit performance use results as reference setup xd cluster,8,train
as a central admin want following developments done new developments new guis are done otf percentage airtel robi region,3,train
as a qa id like include acceptance test coverage _bridge_ processor module validate functionality as part every ci build,3,train
as a qa id like include acceptance test coverage _router_ sink module validate functionality as part every ci build,3,train
as an scd developer id like add support negotiate resourcemanager restapis deploy modules groups build instrumentation start app instances automatically perhaps also take account app specifics as apptypeclouddata and appnamespringclouddatayarnapp,3,train
as a registry administrator want ensure documents are uploaded at least fullfil corresponding schema wsdls policy and policy attachment documents uploaded must validated against corresponding schema validation fails must accepted response must contain meaningful error description together corresponding error code validation component must able validate generic parts different document types also a way plugin extensions validate specific parts eg propietary policy assertions default following extensions must provided default wsdl xml schema soap 11 soap 12 policy and policy attachment wssecurity policies wsaddressing policies wsreliable messaging policies document wiki write a validation extension and integrate registry application,5,train
as a scientist need analyze research data draw meaningful conclusions,8,train
as an scd user id like contribute modules immediately reflects module registry create stream task definitions using shellrestapis currently registry isnt flexible as pretty much hardcoded at registry bootstrap level,8,train
as a qa id like include acceptance test coverage _shell_ sink module validate functionality as part every ci build,5,train
as a user id like flexibility change namespace isolate zk _metadata_ based _tenant_ profile,5,train
as a scs developer id like setup a ci workflow build bundle and upload modulelauncher image dockerhub dont worry about a localprivate docker registry developmenttesting could nice image uploaded existing springcloud dockerhub location,5,train
as a cf user id like ability override hdfs location change custom module _uberjar_ stored and retrieved,3,train
as an apikit developer able create a mule project studio add xml files flow folder and add apikit interfaces studio display errors and project build and run apikit interfaces available long as ensured jar dependencies are satisfied either maven eclipse,8,train
as a xd build master id like fix outstanding build issues evaluate publish builds works as expected,3,train
as a user id like run sqoop jobs against secured hdfs cluster restrict access authorized users,3,train
as a website visitor want search articles find relevant information,3,train
as a user id like retain data partitioning state restart containers continue write based original partitioning strategy currently state preserved hence restarts definition partitioning strategy lost due different _hashcode_ design consideration mine container info derive partition index instead relying _hashcode_,5,train
as a user id like enable ha namenode without enable custom configuration details,3,train
as a scd developer id like add support different binder types modules channels plug rabbit redis kafka as source sink read and write respectively,8,train
as a user would like able configure logging directory outside defined as xdhome logging directory currently hard coded as codexdhomelogscode would useful rpm installations logs really going varlogsspringxd instead current optpivotalspringxdxdlogs location,3,train
as an ops id like setup security zk nodes could restrict access znodes right usersapps,8,train
as a studio user need know status developed application running runtime acceptance criteria application running green application running grey application fails deploy red deploying yellow,8,train
as a user id like refer job orchestration documentation use as guideline building batch workflows,3,train
as a developer id like port richgauge module xd scs repo use as sink module build streaming pipeline,2,train
as a user id like option _kerberized_ hdfs sink leverage kerberos secured data writes hadoop,3,train
as an mdm system user able execute campaign,5,train
as a temporary work around fix xd1935 make producible media type applicationjson job executions get request endpoints,1,train
as a qa id like include acceptance test coverage _reactorip_ source module validate functionality as part every ci build,3,train
as an scd developer id like move kafka rule a separate repo consume test fixtures different projects,1,train
as a user id like refer documentation connect sqoop as recommended and create job definition based exposed _metadata_ options,1,train
as a user want know enable and configure ldap as an authentication provider administration server set security configuration accordingly,1,train
as a user id like refer documentation build custom module based recommended standards and patterns,3,train
as a user id like use _mail_ sink connect secured imap andor smtp mail servers currently sink doesnt support tls _mail_ sink config file requires a bean provided adapter via javamailproperties attribute ref examplehttpdocsspringiospringintegrationdocslatestgareferencemail codexml javaxnetsslsslsocketfactory false imaps false code list all javamail properties,1,train
as a manager need approve time requests ensure proper staffing levels,5,train
as an operator want able use ibm db2 dbms sam server provide db2 specific script table creation test sam server together db2 document sam user guide things specific db2 primary version testing db2 udb 91 seconday supported version db2 97 test os linux even though customers might also run db2 aix and operating systems,2,train
as an scd user id like documentation deployment manifest could refer relevant bits partitions id like understand streams withe,2,train
as a presales colleague want able demonstrate clustering capabilities talend runtime provide karaf cellar feature talend runtime features url shall known feature shall installed default bundles and features are available maven central,1,train
as a developer id like create separate repo cf spi dont bundle all spi variants one admin project,3,train
as a developer id like refactor streamjob definition repository decouple module deployment concerns,8,train
as a developer id like document changes message headers users refer troubleshooting section are any serialization errors reusing 10 batchjobs 11 release perhaps could part troubleshooting section wiki,1,train
as a spring xd developer id like port shell module xd scs repo use as processor module build streaming pipeline,2,train
as a developer id like bench test cases around tuplebuilder identify bottlenecks and tune performance optimizations,8,train
as a developer id like handle nondefault configurableconversionservice tuples an uniform manner theyre reset after deserialization,5,train
as a spring xd developer id like move trigger module xd scs repo use as source build streaming pipeline,2,train
as a general user want a button web view order switch home page mobile application app switch web page mobile made easy implement a cancel button at web view performing a transaction cancel button pressed automatically redirected home page mobile app,5,train
as a user want able reset object store remove any persistent data project acceptance criteria user right click project and click clear application data a project delete default user object store disk old description looks like default implementation object store mule change a persistent implementation although a major problem problems mainly as us are aware fact problem shut app and studio and restarted info still itll a cool feature add a button studio clean persistent storage file system as a work around mariano merlo found storage held workspacemulemuleprojectobjectstore and delete are good go people are as smart as,5,train
as a user id like option change default sqoop _metastore_ implement a db choice and tied default specifications refer threadhttpstackoverflowcomquestions24078668howtochangesqoopmetastore details,1,train
as a user need use xd sqoop module support merge command currently sqooprunner createfinalarguments method forces requirement connect username and password options are valid merge option a check module type force options assigned sqoop arg list would preferred,5,train
as a scd developer id like document use bom templates general audience use as a reference include external libraries dynamically,1,train
as a spring xd user id like persist module metrics directly relay information via restapis and depend current coupling xdcontainers currently sboots export api allows us snapshot metrics a specific interval could something explore as part scope,5,train
as a user want exact semantic discovery menus a table a set columns a file delimited connection behavior as a database,8,train
as a user id like ability access random port admin server point server and continue interactions spike details research whether connecting _xdshell_ directly zk a good approach a lb incharge interaction about something a pointer a zk directory shell folks experiment a bit getting a lb involved note hadoophdfs setups access zk mandatory hdfs client libs are ha and federation setups would anyway require xd shell get access zk fs shell commands are used,8,train
as a user id like an ootb _jdbcgpfdist_ batch job read jdbc and write hawqgpdb using _gpfdist_ protocol scope reuse existing gpfdist sink code and adapt fit batch model,8,train
as a developer id like rerun _baseline_ _tuple_ and _serialized_ payloads compare differences performance 081 and 082 kafka releases sinks included test inmemory transport hdfs sink direct binding transport hdfs sink kafka hdfs sink,8,train
as an mdm system user able view and download export report based msisdn and able download device characteristics based selected field device,8,train
as a developer would like create dsl based jobs using spring xd currently batchjobregistrybeanpostprocessor implementation an assumption postprocessafterinitialization method checks beans are instanceof stepparserstepfactorybean xml based steps therefore any xd step listeners tap events are getting registered effectively im getting any step events dsl based jobs apparently everything else working alright java dsl job java dsl jobs are far easier write testintegration tests please review issue type sure a bug improvement supposed an improvement,1,train
as an mdm system user able view device change history device history,8,train
as a developer id like setup ui infrastructure integrate admin_ui and flo,5,train
as a devops would prefer module registry located centralized github repository would allow all admins and containers cluster pointing module registry any new module upload would pushed github repo make cluster always sync module registry,5,train
as a developer id like add documentation escape quotes someone using sqoop job double escape n instead sending quotes n successfully submit job,1,train
as a scs developer id like create a public screencast firehose counter pipe demonstrate scs and development experience,3,train
as a consequence fixing xd1289 document keys form xdstreamname are available users xdstreamjobname and xdcontainer come mind may others,4,train
as a build manager id like spring xd rpms published springio repository users directly download bits without go appsuite repo eula location 110 release httprepospringiolibsreleaselocalorgspringframeworkxdspringxd110release,2,train
as a developer new development component get module id and container id components need generate log log information must include unique identifier xdruntime modules,1,train
given a project manager want assign tasks team members order track progress,3,train
as a scd user id like option choose hadoop distribution choice load right hadoop libraries cp,5,train
as a user want able datamapping even a null payload map input arguments output creating web service queries eg someone polling a web service and using watermark create query,8,train
as a designer goal create visually appealing designs attracts user attention,5,train
as a scd user id like option gemfire as stream repository build data pipelines are entirely orchestrated within gemfire,8,train
as an xd user id like able visually differentiate jobcomposition workflow and single job,5,train
as an mdm system user able view manual ota configuration steps,2,train
as a developer id like add undeployed status k8s spi represent correct status instead current unknown state,1,train
as a user id like a _generator_ source module create a number messages a specified size example generator nummsgs 10000 msgsize 1024 numthreads 1,8,train
as an mdm system user able view search subscriber profile and clear values fields,3,train
as a spring xd developer id like port http module xd scs repo use as source module streaming pipeline,2,train
as an mdm system user able configure device settings table add edit delete,3,train
as an mdm system user able edit and delete subscriber profile,5,train
as a spring xd developer id like move gpfdist module xd scs repo use as sink build streaming pipeline,2,train
as a user im trying setup ha cluster using ambari installed spring xd however im running issues overrides details,5,train
as a user would like ability undeploy suspend a module without losing deployment properties currently temporarily suspending a module an undeploy and redeploy executed redeploy deployment properties need added again instead would nice properties are persisted automatically included deployment,5,train
as a qa id like include acceptance test coverage _reactorsyslog_ source module validate functionality as part every ci build,3,train
as a developer id like upgrade spring xds ambari plugin 13 release,3,train
given a gamer would like connect friends play games together,5,train
as a spring xd cf user id like use receptor implementation admin spi every time deploy spring xd modules leverage spi query module status and health metrics possible apis code modulestatus getstatus collection listmodules map code,5,train
as a pm id like smart grid demo ported spring xd samples repo,8,train
as a developer id like revisit performance benchmarks new improvements verify optimizations around _jdbchdfs_,1,train
as a freelancer need invoice clients receive timely payments,3,train
as a developer id like add support _flush_ state intelligently reliably process streams based successful message acknowledgements moduleproducer,8,train
as a module author would like apply rxjava processor module spring cloud stream,3,train
as an mdm system user able log system after validating user token,2,train
as a first step address use cases propose a design document covering requirement design and implementation details,4,train
as an xd developer id like explore options save composed job definition zk metadata use repository recreate jobs recover failure scenarios,5,train
as a teacher wish create quizzes students are engaged,5,train
as an mdm system user able configure video streaming settings add edit,8,train
as a studio developer want select a sort field and sort direction query find data application im looking acceptance criteria sort createddate ascending descending salesforce sorting enabled connector support,5,train
as a developer id like add load receiving _sink_ module measure received throughput,3,train
as a user id like ability configure acls restrict access resources accessed via dsl shell examples create streams destroy streams view streams,8,train
as a scs developer id like _bootify_ modulelauncher use spring boots support property setting as well as adding options and new functionality future as cp augmentation,5,train
as a scd developer id like investigate includeexclude msg busbinding jars decide binding selection and fallback mechanism none setup,5,train
as a minimum need common polling strategy client side detect status changes job streams etc ideally would like addressed serverside as well would nice could propagate events containers and adminserver would inform about any changes system could use notify connected ui clients,3,train
as a user id like option _cassandra_ sink leverage nosql database write high volumes variable data segments high velocity,3,train
as a user want see name server im launching context version acceptance criteria server name and version visible header,2,train
as a user logged role_create and get an error trying job creation admin_ui create job shell successfully trying workflow role_admin results error as well dont see anything admincontainer logs about error,1,train
as a salesperson need update customer records track sales and leads,3,train
as a spring xd developer id like move mongo module xd scsm repo use as source build streaming pipeline,2,train
as a homeowner wish monitor energy consumption usage efficient,3,train
as a developer id like decouple execution context job launch lifecycle avoid cl and serialization errors fix needs formally applied spring batch xd upgrade batch release order inherit functionality hence current workaround xd2486 needs reafctored,5,train
as a developer id like move messagebus spring xd repo springbus update spring xd inherit featuresfunctionalities via maven dependency,8,train
as a users would able execute sql statementscript via a processor job statement,3,train
as a manager wish review performance metrics team progress tracked,8,train
as a user id like parameterize merge options incrementally consume delta help megastore,5,train
as a scd developer id like module register shell command register new modules moduleregistry,2,train
as a user id like spring core upgraded 411 benefit performance improvements associated compiled spel and enhancements,3,train
as a user id like use gf source along native gf authentication enabled consume data gf a secured way id like refer documentation gf specific native and security properties needs configured see sc post details,1,train
as a user id like api and documentation links about section within _adminui_ would ideal version dynamically replaced every release,1,train
as a spring xd user id like use latest releases hdpphd distros leverage latest features create pipelines involving hdfs,8,train
as a scs developer id like investigate right approach include external library as dependency decide better handling libraries needs loaded and available root cp at runtime,8,train
as a user id like option provide security configurations access rest endpoints a secured manner ideally all listed rest endpoints needs wrapped within a security layer scope spike research spring security and spring boot and ootb features design considerations and approach xd developer experience users configuring security credentials dsl shell handled admin ui handled,8,train
as a user id like able understand root cause an error http shell command an exception occurs an http shell command user gets failed access http endpoint target information exception conveyed user,1,train
as a scd developer id like enhance integration test coverage lattice spi continuously evaluate functionalities via ci pipeline,3,train
as a developer want learn purpose rent a car demo and run intro overview expect guide small architectural scetch user learn about talend esb cxf compile demo and deploy osgi container run user see everything works as expected copy paste as much as possible swordfish demo outcome docbook format h3 acceptance criteria po person developer skills able get demo running help guide,3,train
as a spring xd developer id like move jdbc module xd scs repo use as source build streaming pipeline,2,train
as a user want know configuration options are enabling sslhttps and basic authentication administration endpoints secure application,1,train
as a developer id like measure baseline serialization characteristics xd determine areas performance improvements,5,train
as a developer id like submit a pr existing work mesos spi,2,train
as a spring xd developer id like port ftpsftp module xd scs repo use as sink modules build streaming pipeline,2,train
as a distributor want receive email notification total commission a day credited wallet able know much commission received services relevant commissions are calculated agent commission credited respective distributors wallet at end day commission credited distributor wallet an email notification sent distributor containing detailed description commission calculated particular agent distributor notified total commission respective day and email distributor wallet number maintained admin portal an email send every distributor based commission service el utility payment and ticketing,5,train
as a user id like option configure permissions ill flexibility bind permissions a specific role default roles admin viewer,2,train
as a developer id like continue latticediego poc identify scope risks and overall design a pluggable spi xd runtime,5,train
as a scs user id like use kinesis module use as sink module build streaming pipeline,2,train
as a scd user id like deploy data flow yarn reuse existing hadoop cluster and leverage data flow features build streaming batch pipelines,2,train
as a xd developer id like upgrade si 42 spring 421 and amqp 15 dependencies take advantage latest improvements,3,train
as a user need a productionready docker image use as a baseline deploy xd following setup ubuntu os full xd jar java 7x,8,train
as a user would like a new separated palette view work all elements are important an userfriendly way,21,train
as a qa id like include acceptance test coverage _hdfsdataset_ sink module validate functionality as part every ci build,3,train
as a user created a composed job 10 child jobs workflow expected see a job execution list page without any pagination instead noticed empty pagination skip next page,1,train
as a user id like a common shared location place dependent jars are required 2 custom modules current recommendation place dependent jar xdlib folder necessary support different versions jars bundle custom module get around _classloader_ problem a oldernewer version exist xdlib,5,train
given a salesperson want track leads order boost sales conversions,5,train
as an mdm system user able add edit delete blacklist devices based tac and imei lists,8,train
given a marketer want create engaging content order attract potential customers,5,train
as a scd developer id like pass any overrides via external config file influence and override default module configurations,3,train
as a scd developer id like setup ci infrastructure scd repo build project continuously every commits,5,train
given an accountant want reconcile financial records order ensure accuracy,5,train
as agreed at data access mtg 20150713 add dax_ prefix towebserv webservcommon webserv_client dbserv imgserv metaserv,1,train
as a followup xd3613 would want fix experience kafka message bus,5,train
as an example code code would define a controller named indexjs and could automatically bind events inline controller code code baddeventlistener alert index default variable a toplevel container inside indexxml indexopen code would need introspection items defined xml and display appropriately content assist js files,8,train
as an mdm system user able view setting types,5,train
given a blog reader would like leave comments engage author,3,train
